date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-02-27,82.59,0.21,2023-02-27 21:15:00,94.71,0.06,2023-02-27 21:15:00,99.61,0.0,2023-02-27 20:15:00,91
2023-02-28,103.9,-0.04,2023-02-28 01:15:00,107.09,-0.07,2023-02-28 01:15:00,108.35,-0.08,2023-02-28 01:15:00,91
2023-03-01,98.87,0.01,2023-03-01 22:15:00,106.46,-0.06,2023-03-01 20:45:00,107.86,-0.07,2023-03-01 19:45:00,91
2023-03-02,107.21,-0.07,2023-03-02 01:00:00,107.97,-0.07,2023-03-02 18:30:00,109.07,-0.08,2023-03-02 18:00:00,91
2023-03-03,93.67,0.07,2023-03-03 19:00:00,101.11,-0.01,2023-03-03 19:00:00,103.71,-0.04,2023-03-03 19:00:00,91
2023-03-04,103.61,-0.04,2023-03-04 22:30:00,106.0,-0.06,2023-03-04 20:15:00,105.61,-0.05,2023-03-04 20:15:00,91
2023-03-05,105.83,-0.06,2023-03-05 18:45:00,105.94,-0.06,2023-03-05 18:30:00,107.33,-0.07,2023-03-05 18:00:00,91
2023-03-06,105.16,-0.05,2023-03-06 06:30:00,106.92,-0.07,2023-03-06 06:15:00,108.11,-0.08,2023-03-06 06:00:00,91
2023-03-07,106.08,-0.06,2023-03-07 07:15:00,106.46,-0.06,2023-03-07 06:15:00,107.52,-0.07,2023-03-07 06:15:00,91
2023-03-08,102.39,-0.02,2023-03-08 17:15:00,104.43,-0.04,2023-03-08 17:15:00,105.19,-0.05,2023-03-08 15:30:00,91
2023-03-09,104.36,-0.04,2023-03-09 06:15:00,106.52,-0.06,2023-03-09 19:45:00,106.75,-0.06,2023-03-09 18:30:00,91
2023-03-10,104.19,-0.04,2023-03-10 06:30:00,105.39,-0.05,2023-03-10 06:30:00,106.46,-0.06,2023-03-10 06:15:00,91
2023-03-11,105.54,-0.05,2023-03-11 20:15:00,106.63,-0.06,2023-03-11 19:15:00,107.59,-0.07,2023-03-11 18:30:00,91
2023-03-12,105.66,-0.05,2023-03-12 19:00:00,108.07,-0.08,2023-03-12 19:00:00,108.5,-0.08,2023-03-12 18:45:00,91
2023-03-13,100.0,0.0,2023-03-13 23:00:00,100.0,-0.0,2023-03-13 22:00:00,104.29,-0.04,2023-03-13 21:00:00,91
2023-03-14,100.0,0.0,2023-03-14 23:00:00,100.0,-0.0,2023-03-14 22:00:00,100.0,-0.0,2023-03-14 00:30:00,91
2023-03-15,100.0,0.0,2023-03-15 00:15:00,100.0,-0.0,2023-03-15 00:15:00,100.0,-0.0,2023-03-15 00:15:00,91
2023-03-16,105.75,-0.05,2023-03-16 16:30:00,107.7,-0.07,2023-03-16 15:30:00,108.26,-0.08,2023-03-16 14:30:00,91
2023-03-17,101.3,-0.01,2023-03-17 20:30:00,101.97,-0.02,2023-03-17 19:45:00,103.13,-0.03,2023-03-17 18:30:00,91
2023-03-18,98.32,0.02,2023-03-18 18:15:00,99.92,0.0,2023-03-18 16:45:00,100.11,-0.0,2023-03-18 16:45:00,91
2023-03-19,99.29,0.01,2023-03-19 19:00:00,101.97,-0.02,2023-03-19 18:00:00,103.83,-0.04,2023-03-19 17:00:00,91
2023-03-20,102.39,-0.02,2023-03-20 07:30:00,104.22,-0.04,2023-03-20 18:30:00,105.16,-0.05,2023-03-20 07:00:00,91
2023-03-21,76.59,0.31,2023-03-21 08:15:00,91.25,0.1,2023-03-21 07:15:00,95.08,0.05,2023-03-21 08:15:00,91
2023-03-22,99.71,0.0,2023-03-22 18:45:00,100.99,-0.01,2023-03-22 18:00:00,101.79,-0.02,2023-03-22 17:45:00,91
2023-03-23,102.18,-0.02,2023-03-23 06:45:00,103.57,-0.03,2023-03-23 06:45:00,104.87,-0.05,2023-03-23 06:45:00,91
2023-03-24,100.67,-0.01,2023-03-24 11:30:00,102.5,-0.02,2023-03-24 10:30:00,103.61,-0.04,2023-03-24 10:30:00,91
2023-03-25,105.58,-0.05,2023-03-25 17:45:00,106.31,-0.06,2023-03-25 18:00:00,106.92,-0.07,2023-03-25 17:45:00,91
2023-03-26,100.0,0.0,2023-03-26 02:00:00,102.87,-0.03,2023-03-26 18:00:00,103.36,-0.03,2023-03-26 17:45:00,91
2023-03-27,96.64,0.03,2023-03-27 06:45:00,101.38,-0.01,2023-03-27 06:15:00,103.52,-0.03,2023-03-27 06:00:00,91
2023-03-28,101.43,-0.01,2023-03-28 07:00:00,103.8,-0.04,2023-03-28 07:00:00,104.5,-0.04,2023-03-28 07:15:00,91
2023-03-29,101.01,-0.01,2023-03-29 15:45:00,103.48,-0.03,2023-03-29 15:30:00,104.82,-0.05,2023-03-29 14:30:00,91
2023-03-30,96.6,0.04,2023-03-30 11:15:00,100.9,-0.01,2023-03-30 11:15:00,102.36,-0.02,2023-03-30 11:15:00,91
2023-03-31,103.1,-0.03,2023-03-31 15:15:00,103.61,-0.04,2023-03-31 15:30:00,104.64,-0.04,2023-03-31 15:00:00,91
2023-04-01,101.59,-0.02,2023-04-01 17:30:00,102.58,-0.03,2023-04-01 17:00:00,102.94,-0.03,2023-04-01 17:15:00,91
2023-04-02,34.02,1.95,2023-04-02 15:15:00,35.51,1.83,2023-04-02 14:15:00,37.44,1.68,2023-04-02 12:45:00,91
2023-04-03,99.62,0.0,2023-04-03 06:00:00,101.43,-0.01,2023-04-03 06:00:00,101.87,-0.02,2023-04-03 06:00:00,91
2023-04-04,94.71,0.06,2023-04-04 16:00:00,102.37,-0.02,2023-04-04 16:00:00,103.16,-0.03,2023-04-04 07:00:00,91
2023-04-05,88.76,0.13,2023-04-05 13:00:00,95.78,0.04,2023-04-05 12:45:00,99.22,0.01,2023-04-05 12:45:00,91
2023-04-06,100.8,-0.01,2023-04-06 07:15:00,101.53,-0.02,2023-04-06 07:00:00,102.14,-0.02,2023-04-06 06:30:00,91
2023-04-07,101.43,-0.01,2023-04-07 07:30:00,101.97,-0.02,2023-04-07 07:30:00,103.24,-0.03,2023-04-07 07:15:00,91
2023-04-08,104.03,-0.04,2023-04-08 14:30:00,105.49,-0.05,2023-04-08 13:45:00,106.03,-0.06,2023-04-08 13:45:00,91
2023-04-09,102.73,-0.03,2023-04-09 11:15:00,104.09,-0.04,2023-04-09 11:15:00,106.01,-0.06,2023-04-09 11:00:00,91
2023-04-10,103.94,-0.04,2023-04-10 19:00:00,104.87,-0.05,2023-04-10 18:15:00,105.79,-0.06,2023-04-10 18:15:00,91
2023-04-11,98.99,0.01,2023-04-11 08:45:00,102.22,-0.02,2023-04-11 07:45:00,103.09,-0.03,2023-04-11 06:45:00,91
2023-04-12,95.68,0.05,2023-04-12 07:30:00,97.65,0.02,2023-04-12 07:00:00,98.94,0.01,2023-04-12 07:00:00,91
2023-04-13,101.97,-0.02,2023-04-13 13:00:00,103.06,-0.03,2023-04-13 06:45:00,103.62,-0.04,2023-04-13 11:45:00,91
2023-04-14,100.55,-0.01,2023-04-14 13:15:00,101.55,-0.02,2023-04-14 13:30:00,101.8,-0.02,2023-04-14 12:45:00,91
2023-04-15,100.42,-0.0,2023-04-15 11:45:00,102.47,-0.02,2023-04-15 18:00:00,103.3,-0.03,2023-04-15 17:00:00,91
2023-04-16,104.03,-0.04,2023-04-16 18:00:00,105.24,-0.05,2023-04-16 18:00:00,105.8,-0.06,2023-04-16 18:15:00,91
2023-04-17,102.52,-0.02,2023-04-17 08:15:00,103.08,-0.03,2023-04-17 07:00:00,103.58,-0.03,2023-04-17 07:00:00,91
2023-04-18,70.09,0.43,2023-04-18 19:15:00,89.64,0.12,2023-04-18 18:30:00,95.02,0.05,2023-04-18 17:30:00,91
2023-04-19,89.68,0.12,2023-04-19 00:00:00,94.84,0.05,2023-04-19 00:00:00,95.85,0.04,2023-04-19 00:00:00,91
2023-04-20,89.64,0.12,2023-04-20 10:30:00,93.27,0.07,2023-04-20 09:30:00,96.15,0.04,2023-04-20 08:30:00,91
2023-04-21,101.34,-0.01,2023-04-21 12:00:00,104.07,-0.04,2023-04-21 11:30:00,104.96,-0.05,2023-04-21 10:30:00,91
2023-04-22,95.47,0.05,2023-04-22 11:45:00,99.77,0.0,2023-04-22 12:00:00,101.43,-0.01,2023-04-22 10:15:00,91
2023-04-23,100.25,-0.0,2023-04-23 20:15:00,101.66,-0.02,2023-04-23 19:45:00,103.12,-0.03,2023-04-23 14:00:00,91
2023-04-24,82.21,0.22,2023-04-24 08:15:00,92.79,0.08,2023-04-24 07:15:00,97.25,0.03,2023-04-24 06:15:00,91
2023-04-25,59.69,0.68,2023-04-25 11:45:00,80.83,0.24,2023-04-25 11:00:00,89.0,0.12,2023-04-25 10:00:00,91
2023-04-26,103.48,-0.03,2023-04-26 07:30:00,104.64,-0.04,2023-04-26 13:15:00,105.03,-0.05,2023-04-26 12:15:00,91
2023-04-27,101.17,-0.01,2023-04-27 14:45:00,103.46,-0.03,2023-04-27 14:15:00,105.27,-0.05,2023-04-27 13:00:00,91
2023-04-28,101.43,-0.01,2023-04-28 07:00:00,103.75,-0.04,2023-04-28 06:30:00,104.43,-0.04,2023-04-28 06:15:00,91
2023-04-29,72.78,0.38,2023-04-29 19:00:00,88.44,0.13,2023-04-29 18:00:00,94.13,0.06,2023-04-29 17:00:00,91
2023-04-30,43.54,1.31,2023-04-30 21:15:00,70.43,0.42,2023-04-30 21:00:00,83.47,0.2,2023-04-30 20:45:00,91
