date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-02-27,17.95,4.6,2023-02-27 16:45:00,20.89,3.81,2023-02-27 16:45:00,22.48,3.47,2023-02-27 15:45:00,97
2023-02-28,18.25,4.51,2023-02-28 16:15:00,20.13,3.99,2023-02-28 16:00:00,20.97,3.79,2023-02-28 16:00:00,97
2023-03-01,21.69,3.64,2023-03-01 17:30:00,23.97,3.19,2023-03-01 16:30:00,23.98,3.19,2023-03-01 16:45:00,97
2023-03-02,15.94,5.31,2023-03-02 16:30:00,17.03,4.9,2023-03-02 15:30:00,18.19,4.53,2023-03-02 16:15:00,97
2023-03-03,16.11,5.24,2023-03-03 16:30:00,20.53,3.9,2023-03-03 16:30:00,21.57,3.66,2023-03-03 14:30:00,97
2023-03-04,27.89,2.6,2023-03-04 19:30:00,48.41,1.07,2023-03-04 18:30:00,55.86,0.8,2023-03-04 17:30:00,97
2023-03-05,47.48,1.11,2023-03-05 15:45:00,74.45,0.35,2023-03-05 15:15:00,71.7,0.4,2023-03-05 15:45:00,97
2023-03-06,21.64,3.64,2023-03-06 16:30:00,23.95,3.2,2023-03-06 17:00:00,24.85,3.05,2023-03-06 16:15:00,97
2023-03-07,26.09,2.85,2023-03-07 16:15:00,31.38,2.2,2023-03-07 15:45:00,41.89,1.4,2023-03-07 15:15:00,97
2023-03-08,13.0,6.74,2023-03-08 16:15:00,14.64,5.87,2023-03-08 15:45:00,16.41,5.13,2023-03-08 16:00:00,97
2023-03-09,15.94,5.31,2023-03-09 16:45:00,17.76,4.66,2023-03-09 16:15:00,18.13,4.54,2023-03-09 16:15:00,97
2023-03-10,14.18,6.09,2023-03-10 16:15:00,16.21,5.2,2023-03-10 15:15:00,17.53,4.73,2023-03-10 15:00:00,97
2023-03-11,44.3,1.27,2023-03-11 18:15:00,51.28,0.96,2023-03-11 18:15:00,58.99,0.7,2023-03-11 17:45:00,97
2023-03-12,38.59,1.6,2023-03-12 18:15:00,55.31,0.81,2023-03-12 18:15:00,65.74,0.52,2023-03-12 17:45:00,97
2023-03-13,20.93,3.8,2023-03-13 17:15:00,22.78,3.41,2023-03-13 17:00:00,26.01,2.86,2023-03-13 16:00:00,97
2023-03-14,13.67,6.36,2023-03-14 17:15:00,18.12,4.55,2023-03-14 16:30:00,20.33,3.95,2023-03-14 16:15:00,97
2023-03-15,15.77,5.38,2023-03-15 19:15:00,17.81,4.65,2023-03-15 16:15:00,18.18,4.53,2023-03-15 15:15:00,97
2023-03-16,12.29,7.18,2023-03-16 16:15:00,15.79,5.37,2023-03-16 16:15:00,17.28,4.82,2023-03-16 15:30:00,97
