date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-04-03,92.83,0.06,2023-04-03 20:00:00,95.46,0.04,2023-04-03 20:30:00,96.96,0.03,2023-04-03 20:00:00,115
2023-04-04,93.83,0.05,2023-04-04 09:15:00,94.86,0.04,2023-04-04 09:15:00,95.3,0.04,2023-04-04 08:00:00,115
2023-04-05,94.51,0.05,2023-04-05 11:30:00,95.68,0.04,2023-04-05 10:30:00,96.25,0.03,2023-04-05 09:30:00,115
2023-04-06,93.31,0.06,2023-04-06 05:45:00,96.09,0.03,2023-04-06 05:45:00,96.78,0.03,2023-04-06 05:45:00,115
2023-04-07,89.68,0.09,2023-04-07 06:00:00,95.87,0.04,2023-04-07 06:00:00,96.93,0.03,2023-04-07 06:00:00,115
2023-04-08,94.1,0.05,2023-04-08 05:00:00,96.88,0.03,2023-04-08 04:00:00,101.58,-0.01,2023-04-08 03:15:00,115
2023-04-09,100.0,0.0,2023-04-09 03:45:00,101.75,-0.01,2023-04-09 00:00:00,103.85,-0.03,2023-04-09 03:15:00,115
2023-04-10,91.22,0.08,2023-04-10 21:15:00,94.48,0.05,2023-04-10 22:00:00,94.88,0.04,2023-04-10 21:00:00,115
2023-04-11,86.45,0.13,2023-04-11 19:00:00,92.52,0.07,2023-04-11 19:30:00,92.51,0.07,2023-04-11 18:45:00,115
2023-04-12,88.72,0.1,2023-04-12 02:15:00,90.69,0.08,2023-04-12 01:15:00,91.72,0.07,2023-04-12 06:30:00,115
2023-04-13,90.95,0.08,2023-04-13 21:15:00,92.2,0.07,2023-04-13 21:00:00,94.55,0.05,2023-04-13 07:45:00,115
2023-04-14,89.78,0.09,2023-04-14 15:30:00,94.56,0.05,2023-04-14 14:45:00,95.07,0.04,2023-04-14 15:30:00,115
2023-04-15,82.3,0.18,2023-04-15 04:45:00,88.41,0.11,2023-04-15 03:45:00,91.03,0.08,2023-04-15 03:45:00,115
2023-04-16,97.46,0.02,2023-04-16 10:00:00,102.52,-0.02,2023-04-16 09:15:00,103.34,-0.03,2023-04-16 04:00:00,115
2023-04-17,92.94,0.06,2023-04-17 10:00:00,95.78,0.04,2023-04-17 10:00:00,97.46,0.02,2023-04-17 09:00:00,115
2023-04-18,92.25,0.07,2023-04-18 03:30:00,93.81,0.05,2023-04-18 15:45:00,94.67,0.05,2023-04-18 14:45:00,115
2023-04-19,91.98,0.07,2023-04-19 18:45:00,94.86,0.04,2023-04-19 18:45:00,96.35,0.03,2023-04-19 09:30:00,115
2023-04-20,92.25,0.07,2023-04-20 10:30:00,92.95,0.06,2023-04-20 09:30:00,94.06,0.05,2023-04-20 08:45:00,115
2023-04-21,13.58,5.24,2023-04-21 12:15:00,27.83,2.13,2023-04-21 11:45:00,53.2,0.72,2023-04-21 10:45:00,115
2023-04-22,90.74,0.08,2023-04-22 08:30:00,91.89,0.07,2023-04-22 07:15:00,92.55,0.07,2023-04-22 07:00:00,115
2023-04-23,88.58,0.11,2023-04-23 18:15:00,94.15,0.05,2023-04-23 18:15:00,97.63,0.02,2023-04-23 17:30:00,115
2023-04-24,89.13,0.1,2023-04-24 14:30:00,93.62,0.06,2023-04-24 14:15:00,97.95,0.02,2023-04-24 13:30:00,115
2023-04-25,93.0,0.06,2023-04-25 11:30:00,94.58,0.05,2023-04-25 10:15:00,94.84,0.04,2023-04-25 10:45:00,115
2023-04-26,91.19,0.08,2023-04-26 18:45:00,93.83,0.05,2023-04-26 18:00:00,97.03,0.03,2023-04-26 09:00:00,115
2023-04-27,94.31,0.05,2023-04-27 10:45:00,95.2,0.04,2023-04-27 10:00:00,96.59,0.03,2023-04-27 09:00:00,115
2023-04-28,93.62,0.06,2023-04-28 08:00:00,95.03,0.04,2023-04-28 08:00:00,95.47,0.04,2023-04-28 08:00:00,115
2023-04-29,90.12,0.09,2023-04-29 01:00:00,94.32,0.05,2023-04-29 01:00:00,98.27,0.01,2023-04-29 04:45:00,115
2023-04-30,99.01,0.01,2023-04-30 01:45:00,102.93,-0.02,2023-04-30 01:00:00,103.94,-0.03,2023-04-30 05:30:00,115
2023-05-01,95.58,0.04,2023-05-01 05:30:00,98.58,0.01,2023-05-01 04:30:00,99.98,0.0,2023-05-01 03:15:00,115
2023-05-02,92.52,0.07,2023-05-02 10:15:00,93.9,0.05,2023-05-02 21:15:00,96.34,0.03,2023-05-02 08:15:00,115
2023-05-03,90.26,0.09,2023-05-03 02:00:00,94.77,0.05,2023-05-03 02:00:00,96.36,0.03,2023-05-03 01:45:00,115
2023-05-04,91.98,0.07,2023-05-04 08:45:00,93.79,0.05,2023-05-04 03:15:00,94.74,0.05,2023-05-04 03:00:00,115
2023-05-05,80.21,0.2,2023-05-05 02:15:00,89.99,0.09,2023-05-05 01:45:00,96.3,0.03,2023-05-05 02:00:00,115
2023-05-06,95.75,0.04,2023-05-06 12:15:00,98.34,0.01,2023-05-06 11:45:00,101.05,-0.01,2023-05-06 12:00:00,115
2023-05-07,82.72,0.17,2023-05-07 02:00:00,83.93,0.16,2023-05-07 01:15:00,87.06,0.12,2023-05-07 01:00:00,115
2023-05-08,96.64,0.03,2023-05-08 03:30:00,99.76,0.0,2023-05-08 15:15:00,99.43,0.0,2023-05-08 02:45:00,115
2023-05-09,10.25,7.2,2023-05-09 15:00:00,11.57,6.29,2023-05-09 14:00:00,12.71,5.65,2023-05-09 13:15:00,115
2023-05-10,86.01,0.13,2023-05-10 08:45:00,86.54,0.13,2023-05-10 08:45:00,88.68,0.11,2023-05-10 08:15:00,115
2023-05-11,88.82,0.1,2023-05-11 04:45:00,93.04,0.06,2023-05-11 06:45:00,94.19,0.05,2023-05-11 13:00:00,115
2023-05-12,83.4,0.16,2023-05-12 12:15:00,89.78,0.09,2023-05-12 11:15:00,92.25,0.07,2023-05-12 10:45:00,115
2023-05-13,91.74,0.07,2023-05-13 01:45:00,95.61,0.04,2023-05-13 01:45:00,99.58,0.0,2023-05-13 02:00:00,115
2023-05-14,91.67,0.07,2023-05-14 04:45:00,95.83,0.04,2023-05-14 05:00:00,98.15,0.02,2023-05-14 04:45:00,115
2023-05-15,90.71,0.08,2023-05-15 18:00:00,92.83,0.06,2023-05-15 16:45:00,94.44,0.05,2023-05-15 16:00:00,115
2023-05-16,72.05,0.32,2023-05-16 09:00:00,82.22,0.18,2023-05-16 09:00:00,86.82,0.12,2023-05-16 08:45:00,115
2023-05-17,89.85,0.09,2023-05-17 11:45:00,94.03,0.05,2023-05-17 02:30:00,95.92,0.04,2023-05-17 11:45:00,115
2023-05-18,76.92,0.25,2023-05-18 07:00:00,94.26,0.05,2023-05-18 18:45:00,98.78,0.01,2023-05-18 20:30:00,115
2023-05-19,93.07,0.06,2023-05-19 14:30:00,96.31,0.03,2023-05-19 14:30:00,96.64,0.03,2023-05-19 14:30:00,115
2023-05-20,88.41,0.11,2023-05-20 03:30:00,90.79,0.08,2023-05-20 05:30:00,92.92,0.06,2023-05-20 03:45:00,115
2023-05-21,98.05,0.02,2023-05-21 21:45:00,100.12,-0.0,2023-05-21 21:45:00,104.44,-0.03,2023-05-21 14:30:00,115
2023-05-22,82.75,0.17,2023-05-22 02:00:00,92.2,0.07,2023-05-22 01:45:00,96.19,0.03,2023-05-22 21:00:00,115
2023-05-23,91.39,0.08,2023-05-23 21:45:00,93.18,0.06,2023-05-23 09:00:00,93.92,0.05,2023-05-23 08:30:00,115
2023-05-24,84.36,0.15,2023-05-24 07:30:00,90.0,0.09,2023-05-24 07:30:00,92.95,0.06,2023-05-24 06:30:00,115
